_id,event,officials,athlete,run
68ae6f9a136e5f9f1398a05a,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Final 1', 'discipline': ""Men's Moguls"", 'venue': ""ALPE D'HUEZ (FRA)"", 'event_date': '16 DEC 2022', 'start_time': '12:25'}","{'fis_technical_delegate_name': 'PUIG', 'fis_technical_delegate_country': 'CRI', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'BERTRAND Fabien', 'chief_of_competition_country': 'FRA', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'NOYREY Florian', 'chief_of_course_country': 'FRA', 'course_name': 'Signal Stadium', 'length': '211m', 'course_gate_width': '21.0m / 12.0m', 'gradient': '28°', 'pace_time': '20.48', 'judge_1_name': 'FOROGLOU Alexandra', 'judge_1_country': 'USA', 'judge_2_name': 'ITO Hajime', 'judge_2_country': 'JPN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'LIVISSIANOS Paul', 'judge_5_country': 'AUS', 'judge_6_name': 'RUBIN Gaspard', 'judge_6_country': 'FRA', 'judge_7_name': 'POHJAVIRTA Pipsa', 'judge_7_country': 'FIN', 'Conditions on course': 'SUNNY', 'Snow Temperature': '0°C/31°F', 'Air Temperature': '-1°C/30°F'}","{'rank': 2, 'name': 'PAGE Nick', 'fis_code': '2533462', 'bib': 2, 'nsa_code': 'USA', 'year_birth': 2002}","{'time_seconds': 20.51, 'time_points': 15.95, 'run_score': 79.76, 'air': {'total': 17.61, 'jumps': [{'jump_number': 1, 'type': '7oG', 'degree_diff': 1.01, 'judge_scores': {'6': 8.2, '7': 8.4}}, {'jump_number': 2, 'type': '10op', 'degree_diff': 1.05, 'judge_scores': {'6': 8.7, '7': 8.9}}]}, 'turns': {'total': 46.2, 'judges': [{'judge': 1, 'baseline': 16.1, 'deduction': -0.7}, {'judge': 2, 'baseline': 16.1, 'deduction': -0.7}, {'judge': 3, 'baseline': 16.1, 'deduction': -1.2}, {'judge': 4, 'baseline': 15.6, 'deduction': -0.6}, {'judge': 5, 'baseline': 16.0, 'deduction': -0.6}]}}"
68ae6f9a136e5f9f1398a064,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Final 1', 'discipline': ""Men's Moguls"", 'venue': ""ALPE D'HUEZ (FRA)"", 'event_date': '16 DEC 2022', 'start_time': '12:25'}","{'fis_technical_delegate_name': 'PUIG', 'fis_technical_delegate_country': 'CRI', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'BERTRAND Fabien', 'chief_of_competition_country': 'FRA', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'NOYREY Florian', 'chief_of_course_country': 'FRA', 'course_name': 'Signal Stadium', 'length': '211m', 'course_gate_width': '21.0m / 12.0m', 'gradient': '28°', 'pace_time': '20.48', 'judge_1_name': 'FOROGLOU Alexandra', 'judge_1_country': 'USA', 'judge_2_name': 'ITO Hajime', 'judge_2_country': 'JPN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'LIVISSIANOS Paul', 'judge_5_country': 'AUS', 'judge_6_name': 'RUBIN Gaspard', 'judge_6_country': 'FRA', 'judge_7_name': 'POHJAVIRTA Pipsa', 'judge_7_country': 'FIN', 'Conditions on course': 'SUNNY', 'Snow Temperature': '0°C/31°F', 'Air Temperature': '-1°C/30°F'}","{'rank': 12, 'name': 'HOLMGREN Emil', 'fis_code': '2534210', 'bib': 40, 'nsa_code': 'SWE', 'year_birth': 2003}","{'time_seconds': 21.37, 'time_points': 14.6, 'run_score': 66.13, 'air': {'total': 11.33, 'jumps': [{'jump_number': 1, 'type': '10op', 'degree_diff': 1.05, 'judge_scores': {'6': 6.4, '7': 6.8}}, {'jump_number': 2, 'type': 'bp', 'degree_diff': 0.71, 'judge_scores': {'6': 6.0, '7': 6.4}}]}, 'turns': {'total': 40.2, 'judges': [{'judge': 1, 'baseline': 14.8, 'deduction': -0.5}, {'judge': 2, 'baseline': 14.4, 'deduction': -1.2}, {'judge': 3, 'baseline': 13.8, 'deduction': -1.9}, {'judge': 4, 'baseline': 15.2, 'deduction': -1.0}, {'judge': 5, 'baseline': 13.2, 'deduction': -0.6}]}}"
68ae6f9a136e5f9f1398a069,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Final 2', 'discipline': ""Men's Moguls"", 'venue': ""ALPE D'HUEZ (FRA)"", 'event_date': '16 DEC 2022', 'start_time': '13:02'}","{'fis_technical_delegate_name': 'PUIG', 'fis_technical_delegate_country': 'CRI', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'BERTRAND Fabien', 'chief_of_competition_country': 'FRA', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'NOYREY Florian', 'chief_of_course_country': 'FRA', 'course_name': 'Signal Stadium', 'length': '211m', 'course_gate_width': '21.0m / 12.0m', 'gradient': '28°', 'pace_time': '20.48', 'judge_1_name': 'FOROGLOU Alexandra', 'judge_1_country': 'USA', 'judge_2_name': 'ITO Hajime', 'judge_2_country': 'JPN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'LIVISSIANOS Paul', 'judge_5_country': 'AUS', 'judge_6_name': 'RUBIN Gaspard', 'judge_6_country': 'FRA', 'judge_7_name': 'POHJAVIRTA Pipsa', 'judge_7_country': 'FIN', 'Conditions on course': 'SUNNY', 'Snow Temperature': '0°C/31°F', 'Air Temperature': '-1°C/30°F'}","{'rank': 1, 'name': 'HORISHIMA Ikuma', 'fis_code': '2529645', 'bib': 3, 'nsa_code': 'JPN', 'year_birth': 1997}","{'time_seconds': 20.22, 'time_points': 16.4, 'run_score': 82.66, 'air': {'total': 17.56, 'jumps': [{'jump_number': 1, 'type': '7oG', 'degree_diff': 1.01, 'judge_scores': {'6': 8.6, '7': 8.0}}, {'jump_number': 2, 'type': '10op', 'degree_diff': 1.05, 'judge_scores': {'6': 8.7, '7': 8.8}}]}, 'turns': {'total': 48.7, 'judges': [{'judge': 1, 'baseline': 16.6, 'deduction': -0.4}, {'judge': 2, 'baseline': 16.6, 'deduction': -0.4}, {'judge': 3, 'baseline': 16.6, 'deduction': -0.6}, {'judge': 4, 'baseline': 16.7, 'deduction': -0.3}, {'judge': 5, 'baseline': 16.4, 'deduction': -0.2}]}}"
68ae6f9a136e5f9f1398a07b,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Final 1', 'discipline': ""Women's Moguls"", 'venue': ""ALPE D'HUEZ (FRA)"", 'event_date': '16 DEC 2022', 'start_time': '12:00'}","{'fis_technical_delegate_name': 'PUIG', 'fis_technical_delegate_country': 'CRI', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'BERTRAND Fabien', 'chief_of_competition_country': 'FRA', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'NOYREY Florian', 'chief_of_course_country': 'FRA', 'course_name': 'Signal Stadium', 'length': '211m', 'course_gate_width': '21.0m / 12.0m', 'gradient': '28°', 'pace_time': '23.97', 'judge_1_name': 'FOROGLOU Alexandra', 'judge_1_country': 'USA', 'judge_2_name': 'ITO Hajime', 'judge_2_country': 'JPN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'LIVISSIANOS Paul', 'judge_5_country': 'AUS', 'judge_6_name': 'RUBIN Gaspard', 'judge_6_country': 'FRA', 'judge_7_name': 'POHJAVIRTA Pipsa', 'judge_7_country': 'FIN', 'Conditions on course': 'SUNNY', 'Snow Temperature': '0°C/31°F', 'Air Temperature': '-1°C/30°F'}","{'rank': 13, 'name': 'KAJIWARA Yuki', 'fis_code': '2533769', 'bib': 17, 'nsa_code': 'JPN', 'year_birth': 2002}","{'time_seconds': 22.76, 'time_points': 17.61, 'run_score': 65.97, 'air': {'total': 11.26, 'jumps': [{'jump_number': 1, 'type': 'bp', 'degree_diff': 0.81, 'judge_scores': {'6': 6.3, '7': 5.8}}, {'jump_number': 2, 'type': '7op', 'degree_diff': 0.98, 'judge_scores': {'6': 6.5, '7': 6.5}}]}, 'turns': {'total': 37.1, 'judges': [{'judge': 1, 'baseline': 14.2, 'deduction': -2.5}, {'judge': 2, 'baseline': 14.2, 'deduction': -1.3}, {'judge': 3, 'baseline': 14.2, 'deduction': -1.8}, {'judge': 4, 'baseline': 14.0, 'deduction': -1.2}, {'judge': 5, 'baseline': 13.4, 'deduction': -2.2}]}}"
68ae6f9b136e5f9f1398a088,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Qualification', 'discipline': ""Women's Moguls"", 'venue': 'VAL ST. COME (CAN)', 'event_date': '27 JAN 2023', 'start_time': '14:15'}","{'fis_technical_delegate_name': 'MATTHEWS Craig', 'fis_technical_delegate_country': 'USA', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'LAROCHE Denis', 'chief_of_competition_country': 'CAN', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'CARRIER Serge', 'chief_of_course_country': 'CAN', 'course_name': 'Alexandre Bilodeau', 'length': '245m', 'course_gate_width': '24.0m / 12.0m', 'gradient': '28°', 'pace_time': '27.84', 'judge_1_name': 'KLANCAR Marko', 'judge_1_country': 'SLO', 'judge_2_name': 'GINGRAS Danielle', 'judge_2_country': 'CAN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'DE', 'judge_5_country': 'KLU', 'judge_6_name': 'JABOOR Zoe', 'judge_6_country': 'AUS', 'judge_7_name': 'FOMINYKH Yuliya', 'judge_7_country': 'ARM', 'Conditions on course': 'PARTLYCLOUDY', 'Snow Temperature': '-7°C/19°F', 'Air Temperature': '-8°C/18°F'}","{'rank': 5, 'name': 'SCHWINGHAMMER', 'fis_code': '2533204', 'bib': 15, 'nsa_code': 'CAN', 'year_birth': 2001}","{'time_seconds': 26.6, 'time_points': 17.42, 'run_score': 74.64, 'air': {'total': 14.42, 'jumps': [{'jump_number': 1, 'type': 'bT', 'degree_diff': 0.78, 'judge_scores': {'6': 8.2, '7': 8.4}}, {'jump_number': 2, 'type': 'bG', 'degree_diff': 0.92, 'judge_scores': {'6': 8.6, '7': 8.7}}]}, 'turns': {'total': 42.8, 'judges': [{'judge': 1, 'baseline': 15.4, 'deduction': -0.8}, {'judge': 2, 'baseline': 15.6, 'deduction': -0.6}, {'judge': 3, 'baseline': 14.4, 'deduction': -0.9}, {'judge': 4, 'baseline': 14.7, 'deduction': -0.5}, {'judge': 5, 'baseline': 15.0, 'deduction': -1.5}]}}"
68ae6f9b136e5f9f1398a096,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Qualification', 'discipline': ""Women's Moguls"", 'venue': 'VAL ST. COME (CAN)', 'event_date': '27 JAN 2023', 'start_time': '14:15'}","{'fis_technical_delegate_name': 'MATTHEWS Craig', 'fis_technical_delegate_country': 'USA', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'LAROCHE Denis', 'chief_of_competition_country': 'CAN', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'CARRIER Serge', 'chief_of_course_country': 'CAN', 'course_name': 'Alexandre Bilodeau', 'length': '245m', 'course_gate_width': '24.0m / 12.0m', 'gradient': '28°', 'pace_time': '27.84', 'judge_1_name': 'KLANCAR Marko', 'judge_1_country': 'SLO', 'judge_2_name': 'GINGRAS Danielle', 'judge_2_country': 'CAN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'DE', 'judge_5_country': 'KLU', 'judge_6_name': 'JABOOR Zoe', 'judge_6_country': 'AUS', 'judge_7_name': 'FOMINYKH Yuliya', 'judge_7_country': 'ARM', 'Conditions on course': 'PARTLYCLOUDY', 'Snow Temperature': '-7°C/19°F', 'Air Temperature': '-8°C/18°F'}","{'rank': 19, 'name': 'MACUGA Alli', 'fis_code': '2534186', 'bib': 11, 'nsa_code': 'USA', 'year_birth': 2003}","{'time_seconds': 26.29, 'time_points': 17.78, 'run_score': 63.39, 'air': {'total': 10.31, 'jumps': [{'jump_number': 1, 'type': 'bp', 'degree_diff': 0.81, 'judge_scores': {'6': 5.9, '7': 5.8}}, {'jump_number': 2, 'type': '7op', 'degree_diff': 0.98, 'judge_scores': {'6': 5.5, '7': 5.9}}]}, 'turns': {'total': 35.3, 'judges': [{'judge': 1, 'baseline': 13.5, 'deduction': -1.7}, {'judge': 2, 'baseline': 13.2, 'deduction': -1.2}, {'judge': 3, 'baseline': 14.3, 'deduction': -2.1}, {'judge': 4, 'baseline': 13.7, 'deduction': -1.6}, {'judge': 5, 'baseline': 12.9, 'deduction': -1.8}]}}"
68ae6f9b136e5f9f1398a09f,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Qualification', 'discipline': ""Women's Moguls"", 'venue': 'VAL ST. COME (CAN)', 'event_date': '27 JAN 2023', 'start_time': '14:15'}","{'fis_technical_delegate_name': 'MATTHEWS Craig', 'fis_technical_delegate_country': 'USA', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'LAROCHE Denis', 'chief_of_competition_country': 'CAN', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'CARRIER Serge', 'chief_of_course_country': 'CAN', 'course_name': 'Alexandre Bilodeau', 'length': '245m', 'course_gate_width': '24.0m / 12.0m', 'gradient': '28°', 'pace_time': '27.84', 'judge_1_name': 'KLANCAR Marko', 'judge_1_country': 'SLO', 'judge_2_name': 'GINGRAS Danielle', 'judge_2_country': 'CAN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'DE', 'judge_5_country': 'KLU', 'judge_6_name': 'JABOOR Zoe', 'judge_6_country': 'AUS', 'judge_7_name': 'FOMINYKH Yuliya', 'judge_7_country': 'ARM', 'Conditions on course': 'PARTLYCLOUDY', 'Snow Temperature': '-7°C/19°F', 'Air Temperature': '-8°C/18°F'}","{'rank': 28, 'name': 'DEGROOTE Fantine', 'fis_code': '2533547', 'bib': 18, 'nsa_code': 'FRA', 'year_birth': 2001}","{'time_seconds': 31.38, 'time_points': 11.93, 'run_score': 35.98, 'air': {'total': 13.65, 'jumps': [{'jump_number': 1, 'type': 'bG', 'degree_diff': 0.92, 'judge_scores': {'6': 7.6, '7': 8.0}}, {'jump_number': 2, 'type': 'bp', 'degree_diff': 0.81, 'judge_scores': {'6': 8.0, '7': 8.0}}]}, 'turns': {'total': 10.4, 'judges': [{'judge': 1, 'baseline': 13.0, 'deduction': -9.4}, {'judge': 2, 'baseline': 11.0, 'deduction': -9.2}, {'judge': 3, 'baseline': 12.8, 'deduction': -7.8}, {'judge': 4, 'baseline': 12.4, 'deduction': -11.2}, {'judge': 5, 'baseline': 14.5, 'deduction': -9.2}]}}"
68ae6f9c136e5f9f1398a0b9,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Final 1', 'discipline': ""Men's Moguls"", 'venue': 'VAL ST. COME (CAN)', 'event_date': '27 JAN 2023', 'start_time': '19:25'}","{'fis_technical_delegate_name': 'MATTHEWS Craig', 'fis_technical_delegate_country': 'USA', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'LAROCHE Denis', 'chief_of_competition_country': 'CAN', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'CARRIER Serge', 'chief_of_course_country': 'CAN', 'course_name': 'Alexandre Bilodeau', 'length': '245m', 'course_gate_width': '24.0m / 12.0m', 'gradient': '28°', 'pace_time': '23.78', 'judge_1_name': 'KLANCAR Marko', 'judge_1_country': 'SLO', 'judge_2_name': 'GINGRAS Danielle', 'judge_2_country': 'CAN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'DE', 'judge_5_country': 'KLU', 'judge_6_name': 'JABOOR Zoe', 'judge_6_country': 'AUS', 'judge_7_name': 'FOMINYKH Yuliya', 'judge_7_country': 'ARM', 'Conditions on course': 'OVERCAST', 'Snow Temperature': '-7°C/19°F', 'Air Temperature': '-9°C/16°F'}","{'rank': 1, 'name': 'KINGSBURY Mikael', 'fis_code': '2484937', 'bib': 1, 'nsa_code': 'CAN', 'year_birth': 1992}","{'time_seconds': 22.6, 'time_points': 17.58, 'run_score': 83.74, 'air': {'total': 16.36, 'jumps': [{'jump_number': 1, 'type': 'bF', 'degree_diff': 0.88, 'judge_scores': {'6': 9.0, '7': 9.1}}, {'jump_number': 2, 'type': '10op', 'degree_diff': 1.05, 'judge_scores': {'6': 8.0, '7': 8.0}}]}, 'turns': {'total': 49.8, 'judges': [{'judge': 1, 'baseline': 17.0, 'deduction': -0.7}, {'judge': 2, 'baseline': 17.2, 'deduction': -0.2}, {'judge': 3, 'baseline': 16.5, 'deduction': -0.3}, {'judge': 4, 'baseline': 17.2, 'deduction': -0.4}, {'judge': 5, 'baseline': 16.8, 'deduction': -0.5}]}}"
68ae6f9c136e5f9f1398a0d0,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Final 1', 'discipline': ""Men's Moguls"", 'venue': 'DEER VALLEY (USA)', 'event_date': '2 FEB 2023', 'start_time': '19:55'}","{'fis_technical_delegate_name': 'CHICK Bruce', 'fis_technical_delegate_country': 'CAN', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'ROTERMUND Konrad', 'chief_of_competition_country': 'USA', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_moguls_name': 'SALARIN Cody', 'chief_of_moguls_country': 'USA', 'chief_of_course_name': 'SHIRMAN Nat', 'chief_of_course_country': 'USA', 'course_name': 'Champion', 'length': '252m', 'course_gate_width': '19.4m / 11.8m', 'gradient': '28°', 'pace_time': '24.46', 'judge_1_name': 'FOMINYKH Yuliya', 'judge_1_country': 'ARM', 'judge_2_name': 'ELLIS Christopher', 'judge_2_country': 'USA', 'judge_3_name': 'TANAKA', 'judge_3_country': 'SUN', 'judge_4_name': 'MARK Bunnah', 'judge_4_country': 'CAN', 'judge_5_name': 'MILES Abigail', 'judge_5_country': 'USA', 'judge_6_name': 'JABOOR Zoe', 'judge_6_country': 'AUS', 'judge_7_name': 'KLANCAR Marko', 'judge_7_country': 'SLO', 'Conditions on course': 'CLEAR', 'Snow Temperature': '-4°C/25°F', 'Air Temperature': '-4°C/24°F'}","{'rank': 2, 'name': 'KINGSBURY Mikael', 'fis_code': '2484937', 'bib': 1, 'nsa_code': 'CAN', 'year_birth': 1992}","{'time_seconds': 24.02, 'time_points': 16.57, 'run_score': 80.5, 'air': {'total': 15.03, 'jumps': [{'jump_number': 1, 'type': '10op', 'degree_diff': 1.05, 'judge_scores': {'6': 7.1, '7': 7.3}}, {'jump_number': 2, 'type': '7op', 'degree_diff': 0.88, 'judge_scores': {'6': 8.5, '7': 8.5}}]}, 'turns': {'total': 48.9, 'judges': [{'judge': 1, 'baseline': 16.8, 'deduction': -0.4}, {'judge': 2, 'baseline': 17.0, 'deduction': -0.4}, {'judge': 3, 'baseline': 16.9, 'deduction': -0.9}, {'judge': 4, 'baseline': 16.9, 'deduction': -0.6}, {'judge': 5, 'baseline': 16.7, 'deduction': -0.7}]}}"
68ae6f9a136e5f9f1398a05c,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Final 1', 'discipline': ""Men's Moguls"", 'venue': ""ALPE D'HUEZ (FRA)"", 'event_date': '16 DEC 2022', 'start_time': '12:25'}","{'fis_technical_delegate_name': 'PUIG', 'fis_technical_delegate_country': 'CRI', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'BERTRAND Fabien', 'chief_of_competition_country': 'FRA', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'NOYREY Florian', 'chief_of_course_country': 'FRA', 'course_name': 'Signal Stadium', 'length': '211m', 'course_gate_width': '21.0m / 12.0m', 'gradient': '28°', 'pace_time': '20.48', 'judge_1_name': 'FOROGLOU Alexandra', 'judge_1_country': 'USA', 'judge_2_name': 'ITO Hajime', 'judge_2_country': 'JPN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'LIVISSIANOS Paul', 'judge_5_country': 'AUS', 'judge_6_name': 'RUBIN Gaspard', 'judge_6_country': 'FRA', 'judge_7_name': 'POHJAVIRTA Pipsa', 'judge_7_country': 'FIN', 'Conditions on course': 'SUNNY', 'Snow Temperature': '0°C/31°F', 'Air Temperature': '-1°C/30°F'}","{'rank': 4, 'name': 'WALLBERG Walter', 'fis_code': '2532001', 'bib': 8, 'nsa_code': 'SWE', 'year_birth': 2000}","{'time_seconds': 20.38, 'time_points': 16.15, 'run_score': 78.01, 'air': {'total': 15.66, 'jumps': [{'jump_number': 1, 'type': 'bF', 'degree_diff': 0.88, 'judge_scores': {'6': 8.4, '7': 8.6}}, {'jump_number': 2, 'type': '10op', 'degree_diff': 1.05, 'judge_scores': {'6': 8.1, '7': 7.5}}]}, 'turns': {'total': 46.2, 'judges': [{'judge': 1, 'baseline': 16.0, 'deduction': -0.5}, {'judge': 2, 'baseline': 16.0, 'deduction': -1.1}, {'judge': 3, 'baseline': 16.2, 'deduction': -0.9}, {'judge': 4, 'baseline': 16.2, 'deduction': -0.6}, {'judge': 5, 'baseline': 16.0, 'deduction': -0.4}]}}"
68ae6f9a136e5f9f1398a063,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Final 1', 'discipline': ""Men's Moguls"", 'venue': ""ALPE D'HUEZ (FRA)"", 'event_date': '16 DEC 2022', 'start_time': '12:25'}","{'fis_technical_delegate_name': 'PUIG', 'fis_technical_delegate_country': 'CRI', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'BERTRAND Fabien', 'chief_of_competition_country': 'FRA', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'NOYREY Florian', 'chief_of_course_country': 'FRA', 'course_name': 'Signal Stadium', 'length': '211m', 'course_gate_width': '21.0m / 12.0m', 'gradient': '28°', 'pace_time': '20.48', 'judge_1_name': 'FOROGLOU Alexandra', 'judge_1_country': 'USA', 'judge_2_name': 'ITO Hajime', 'judge_2_country': 'JPN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'LIVISSIANOS Paul', 'judge_5_country': 'AUS', 'judge_6_name': 'RUBIN Gaspard', 'judge_6_country': 'FRA', 'judge_7_name': 'POHJAVIRTA Pipsa', 'judge_7_country': 'FIN', 'Conditions on course': 'SUNNY', 'Snow Temperature': '0°C/31°F', 'Air Temperature': '-1°C/30°F'}","{'rank': 11, 'name': 'SUGIMOTO Kosuke', 'fis_code': '2528069', 'bib': 12, 'nsa_code': 'JPN', 'year_birth': 1994}","{'time_seconds': 21.77, 'time_points': 13.98, 'run_score': 69.99, 'air': {'total': 11.91, 'jumps': [{'jump_number': 1, 'type': '7oG', 'degree_diff': 1.01, 'judge_scores': {'6': 5.8, '7': 5.8}}, {'jump_number': 2, 'type': '7op', 'degree_diff': 0.88, 'judge_scores': {'6': 6.6, '7': 7.2}}]}, 'turns': {'total': 44.1, 'judges': [{'judge': 1, 'baseline': 15.3, 'deduction': -0.6}, {'judge': 2, 'baseline': 15.8, 'deduction': -0.4}, {'judge': 3, 'baseline': 15.5, 'deduction': -1.3}, {'judge': 4, 'baseline': 15.5, 'deduction': -0.9}, {'judge': 5, 'baseline': 15.0, 'deduction': -0.7}]}}"
68ae6f9b136e5f9f1398a07e,"{'event': 'FIS FREESTYLE SKI WORLD CUP 2023', 'level': 'Results Final 2', 'discipline': ""Women's Moguls"", 'venue': ""ALPE D'HUEZ (FRA)"", 'event_date': '16 DEC 2022', 'start_time': '12:50'}","{'fis_technical_delegate_name': 'PUIG', 'fis_technical_delegate_country': 'CRI', 'head_judge_name': 'SIMSON Sarah', 'head_judge_country': 'USA', 'chief_of_competition_name': 'BERTRAND Fabien', 'chief_of_competition_country': 'FRA', 'fis_race_director_name': 'RINALDI Andrea', 'fis_race_director_country': 'FIS', 'chief_of_course_name': 'NOYREY Florian', 'chief_of_course_country': 'FRA', 'course_name': 'Signal Stadium', 'length': '211m', 'course_gate_width': '21.0m / 12.0m', 'gradient': '28°', 'pace_time': '23.97', 'judge_1_name': 'FOROGLOU Alexandra', 'judge_1_country': 'USA', 'judge_2_name': 'ITO Hajime', 'judge_2_country': 'JPN', 'judge_3_name': 'ERIKSSON Jörgen', 'judge_3_country': 'SWE', 'judge_4_name': 'CLOT Monique', 'judge_4_country': 'SUI', 'judge_5_name': 'LIVISSIANOS Paul', 'judge_5_country': 'AUS', 'judge_6_name': 'RUBIN Gaspard', 'judge_6_country': 'FRA', 'judge_7_name': 'POHJAVIRTA Pipsa', 'judge_7_country': 'FIN', 'Conditions on course': 'SUNNY', 'Snow Temperature': '0°C/31°F', 'Air Temperature': '-1°C/30°F'}","{'rank': 1, 'name': 'ANTHONY Jakara', 'fis_code': '2530720', 'bib': 1, 'nsa_code': 'AUS', 'year_birth': 1998}","{'time_seconds': 23.79, 'time_points': 16.24, 'run_score': 79.7, 'air': {'total': 15.96, 'jumps': [{'jump_number': 1, 'type': '7oG', 'degree_diff': 1.11, 'judge_scores': {'6': 7.5, '7': 7.1}}, {'jump_number': 2, 'type': 'bG', 'degree_diff': 0.92, 'judge_scores': {'6': 8.4, '7': 8.7}}]}, 'turns': {'total': 47.5, 'judges': [{'judge': 1, 'baseline': 16.5, 'deduction': -0.7}, {'judge': 2, 'baseline': 15.6, 'deduction': -0.5}, {'judge': 3, 'baseline': 16.3, 'deduction': -0.6}, {'judge': 4, 'baseline': 16.4, 'deduction': -0.6}, {'judge': 5, 'baseline': 16.6, 'deduction': -0.5}]}}"
